lambda;stepsize;momentum;epsilon;batch_size;layer_number;neuron;activation;activation_output;initialization;mse_train;mse_test;mse_train_variance;mse_test_variance;acc_train;acc_test;acc_train_variance;acc_validation_variance
0.001;0.8;0.3;0.0009;64;3;9;tanh;tanh;uniform;0.03789343107112702;0.09425621010427315;0.00020386122977260972;0.0013062449661343217;0.9878048780487805;0.8943089430894308;0.0002974419988102325;0.005684447088373325
0.001;0.3;0.8;0.0009;64;1;3;tanh;sigmoid;uniform;0.04035240908375754;0.09491370043509244;4,93E+10;0.00151316331473044;1.0;0.8617886178861789;0.0;0.010443519069337034
0.001;0.3;0.3;0.0009;64;1;3;tanh;tanh;uniform;0.03469982323291176;0.09960181830890978;9,75E+09;0.0007122509836268394;0.9959349593495935;0.8943089430894308;3,30E+11;0.0033049110978914664
0.001;0.8;0.8;0.0009;64;1;9;tanh;sigmoid;uniform;0.049352890457521885;0.10286017308552008;0.00030999405206216807;0.002290560264188162;0.9796747967479674;0.9024390243902438;0.000826227774472868;0.004759071980963713
0.001;0.3;0.8;0.0009;64;1;9;tanh;sigmoid;uniform;0.046140529694107583;0.10646004042048894;0.00018928133858407377;0.004378288763527205;0.9878048780487805;0.9186991869918698;0.0002974419988102325;0.009650340405843078
0.001;0.8;0.3;0.0009;64;3;9;tanh;sigmoid;uniform;0.037413990458803836;0.11743438145031705;0.00019702043314498362;0.001774431742788801;0.983739837398374;0.8617886178861789;0.0002313437768524031;0.004891268424879368
0.001;0.8;0.8;0.0009;64;3;3;tanh;sigmoid;uniform;0.08012118789047058;0.13199952351763763;0.001166328855352057;0.000972805395755777;0.9186991869918698;0.8617886178861789;0.0016194064379668176;0.0017185537709035615
0.001;0.3;0.3;0.0009;64;3;9;tanh;sigmoid;uniform;0.09623836709820126;0.14577505567419693;0.000294623611128609;0.0019881268395367;0.9227642276422764;0.8130081300813008;0.0006279331085993778;0.006874215083614255
0.001;0.3;0.8;0.0009;64;1;9;sigmoid;tanh;uniform;0.11613755422522622;0.15604055924158342;0.001329797747722265;0.0006505784190935872;0.8333333333333334;0.7398373983739838;0.004891268424879373;0.003701500429638443
0.001;0.3;0.8;0.0009;64;1;3;sigmoid;tanh;uniform;0.08421805957316543;0.16182925625204572;0.000364763052668544;0.003802731952079861;0.9227642276422764;0.7804878048780487;0.0009253751074096093;0.011104501288915325
0.001;0.8;0.8;0.0009;64;1;3;sigmoid;tanh;uniform;0.10644688794679878;0.16870392043080665;0.0016645921882354683;0.0007601322032673619;0.8821138211382115;0.7154471544715447;0.0064776257518672714;0.008857161742349136
0.001;0.8;0.3;0.0009;64;1;3;tanh;sigmoid;uniform;0.13029313443977517;0.17204482763139683;0.0001883632494172038;0.00010047836519993813;0.8617886178861789;0.7398373983739838;0.0010245224403463565;0.002511732434397515
0.001;0.3;0.3;0.0009;64;1;3;tanh;sigmoid;uniform;0.13683303347929057;0.17241197752258675;0.0002724248463287191;5,99E+09;0.8455284552845529;0.7886178861788619;0.0030074690990812346;0.0017185537709035628
0.001;0.8;0.3;0.0009;64;3;3;tanh;tanh;uniform;0.04489699490707416;0.1736698438736565;8,38E+10;0.010930878241753546;0.9796747967479674;0.8373983739837398;3,30E+11;0.003701500429638443
0.001;0.8;0.8;0.0009;64;1;3;sigmoid;sigmoid;uniform;0.15104679681121363;0.17616968510353204;1,04E+11;0.00014090558403054095;0.8536585365853658;0.7642276422764228;9,91E+10;0.0025117324343975145
