lambda,stepsize,epsilon,batch_size,layer_number,neuron,activation,activation_output,initialization,seed,error_train,error_test,error_train_variance,error_test_variance,acc_train,acc_test,acc_train_variance,acc_validation_variance
0.0005,0.1,0.0009,32,1,3,tanh,tanh,uniform,40,0.024659438502179415,0.040624346700476176,0.0011624246094725753,0.0031583805491410617,0.9732142857142857,0.9642857142857143,0.0014349489795918383,0.002551020408163263
0.0005,0.1,0.0009,32,1,3,tanh,tanh,uniform,50,0.08886569188431857,0.17607013681711484,0.0001803784946046915,0.0005827393591375261,0.8928571428571429,0.7619047619047619,5.314625850340164e-05,0.003472222222222224
0.0005,0.1,0.0009,32,1,7,tanh,tanh,uniform,0,0.016544132877054012,0.17509919183737221,0.0001895582027861118,0.02156592055029694,0.9970238095238096,0.8690476190476191,1.7715419501133662e-05,0.013888888888888888
0.0005,0.1,0.0009,32,1,7,tanh,tanh,uniform,10,0.0010993143719497903,0.027301011528059773,8.976000005001345e-07,0.0014013819406014539,1.0,0.9761904761904763,0.0,0.0011337868480725613
0.0005,0.1,0.0009,32,1,7,tanh,tanh,uniform,20,0.00569333851261919,0.020116818933686244,5.488791968170074e-05,0.0007428484739182674,1.0,0.9940476190476191,0.0,7.086167800453553e-05
0.0005,0.1,0.0009,32,1,7,tanh,tanh,uniform,40,0.0006804362505641167,0.0008541123946604958,7.647142835362037e-09,2.825295897321434e-09,1.0,1.0,0.0,0.0
0.0005,0.1,0.0009,32,1,7,tanh,tanh,uniform,50,0.000567000423936436,0.011227785453925448,7.411451199051666e-08,0.00021792194140270163,1.0,0.9940476190476191,0.0,7.086167800453553e-05
0.0005,0.1,0.0009,169,1,3,tanh,tanh,uniform,0,0.08201272345330063,0.2099736451548062,0.0006033245118735861,0.010857273409260487,0.9017857142857143,0.7440476190476191,0.0013286564625850344,0.01580215419501134
0.0005,0.1,0.0009,169,1,3,tanh,tanh,uniform,10,0.01590911354295682,0.11711757880412284,0.00045791260615333016,0.027051912729015633,0.9791666666666666,0.8690476190476191,0.0008680555555555555,0.03429705215419501
0.0005,0.1,0.0009,169,1,3,tanh,tanh,uniform,20,0.0005065481446943521,0.0011645543480977999,7.591864610909957e-08,1.4444311860150424e-07,1.0,1.0,0.0,0.0
0.0005,0.1,0.0009,169,1,3,tanh,tanh,uniform,40,0.00034485366583939707,0.0012219848376418842,4.255098034058072e-08,2.0889068882689802e-07,1.0,1.0,0.0,0.0
0.0005,0.1,0.0009,169,1,3,tanh,tanh,uniform,50,0.06940745316936277,0.27727002088537617,0.0024946910013008156,0.04299335334467441,0.9077380952380952,0.6964285714285715,0.004907171201814056,0.027423469387755108
0.0005,0.1,0.0009,169,1,7,tanh,tanh,uniform,0,0.00029198484645106176,0.005157004327071738,2.006979326574175e-08,3.639334086434685e-05,1.0,1.0,0.0,0.0
0.0005,0.1,0.0009,169,1,7,tanh,tanh,uniform,10,0.0006021033505016856,0.0008955929650572724,8.521189830873873e-09,6.143795913333168e-12,1.0,1.0,0.0,0.0
0.0005,0.1,0.0009,169,1,7,tanh,tanh,uniform,20,0.00044470586353052583,0.0008763268595466389,5.0653589380873205e-08,1.0616202713951779e-09,1.0,1.0,0.0,0.0
0.0005,0.1,0.0009,169,1,7,tanh,tanh,uniform,40,0.0003914580714694418,0.0014029486955482423,2.247888517577025e-08,5.074107379930707e-07,1.0,1.0,0.0,0.0
0.0005,0.1,0.0009,169,1,7,tanh,tanh,uniform,50,0.00024830381896152946,0.001973926632774039,1.3341685635933528e-08,7.396684114694403e-07,1.0,1.0,0.0,0.0
0,0.001,0.0009,32,1,3,tanh,tanh,uniform,0,0.17730729381832774,0.2722104858133121,3.48045145269564e-05,0.000621943872294098,0.7113095238095237,0.5297619047619048,0.00044288548752834594,0.0026218820861677998
0,0.001,0.0009,32,1,3,tanh,tanh,uniform,10,0.09638460300044326,0.16066000823725934,0.0003926171098181776,0.0007010835115299919,0.9047619047619048,0.7678571428571429,0.002143565759637187,0.0025510204081632686
0,0.001,0.0009,32,1,3,tanh,tanh,uniform,20,0.034734038463647,0.05565246768885177,0.0001581526807634144,0.0007671274950009141,1.0,0.9702380952380952,0.0,0.0009212018140589556
0,0.001,0.0009,32,1,3,tanh,tanh,uniform,40,0.04499421597970283,0.09804673577156116,7.50770043189616e-05,0.0015899766304491331,0.9940476190476191,0.9166666666666666,1.7715419501133662e-05,0.006448412698412694
0,0.001,0.0009,32,1,3,tanh,tanh,uniform,50,0.02149521572870866,0.031169644490706697,7.248283887590413e-05,0.00021255203206637928,1.0,0.9940476190476191,0.0,7.086167800453553e-05
0,0.001,0.0009,32,1,7,tanh,tanh,uniform,0,0.010627820390689623,0.02237287593752077,1.4900275250467542e-06,7.035456369414676e-06,1.0,1.0,0.0,0.0
0,0.001,0.0009,32,1,7,tanh,tanh,uniform,10,0.03356451459173548,0.10874694839284384,3.1173213021019495e-06,0.00012114791732035081,0.9940476190476191,0.8928571428571428,1.7715419501133662e-05,0.000637755102040817
0,0.001,0.0009,32,1,7,tanh,tanh,uniform,20,0.04158249254563177,0.1584002242491922,1.1633759571007339e-05,0.00037899323895669075,0.9910714285714285,0.7857142857142857,5.314625850340164e-05,0.0027636054421768708
