lambda;stepsize;momentum;epsilon;batch_size;layer_number;neuron;activation;activation_output;initialization;error_train;error_test;error_train_variance;error_test_variance
0;0,001;adaptive;0,0009;128;1;300;sigmoid;linear;xavier;7,080027874;7,096579179;0,00232352;0,077363559
0,0005;0,001;adaptive;0,0009;128;1;150;sigmoid;linear;uniform;7,807622233;7,823385256;0,0010129;0,010052958
0;0,001;adaptive;0,0009;128;1;50;sigmoid;linear;uniform;8,415922061;8,452253693;0,01915722;0,129707063
0,0005;0,001;adaptive;0,0009;64;1;300;sigmoid;linear;xavier;8,678214496;8,691763244;0,005122643;0,005649465
0;0,001;adaptive;0,0009;128;1;150;sigmoid;linear;xavier;9,385768359;9,40997061;0,010421498;0,044948776
0,0005;0,001;adaptive;0,0009;64;1;150;sigmoid;linear;xavier;10,7871803;10,79937353;0,005652952;0,017263139
0,0005;0,001;adaptive;0,0009;128;1;300;sigmoid;linear;xavier;11,30146059;11,31909631;0,007884394;0,069561688
0,0005;0,01;adaptive;0,0009;128;1;300;tanh;linear;uniform;10,78922869;11,50960651;0,003226746;0,058844948
0;0,01;adaptive;0,0009;128;1;300;tanh;linear;uniform;10,74940303;12,21657585;0,018417001;0,209119658
0,0005;0,01;adaptive;0,0009;128;1;150;tanh;linear;uniform;11,90328155;12,26489035;0,005438613;0,062723301
0;0,001;adaptive;0,0009;128;1;50;sigmoid;linear;xavier;12,24949709;12,29877367;0,057002176;0,138857713
0;0,01;adaptive;0,0009;128;1;150;tanh;linear;uniform;11,92292947;12,56035127;0,000553;0,122585892
0;0,01;adaptive;0,0009;128;1;50;tanh;linear;uniform;12,85590512;13,36295979;0,001567208;0,112417986
0,0005;0,01;adaptive;0,0009;128;1;50;tanh;linear;uniform;13,47856378;13,77752494;0,033207469;0,121112188
0,0005;0,001;adaptive;0,0009;128;1;150;sigmoid;linear;xavier;13,93714664;13,94406484;0,001676882;0,010004316
0;0,01;adaptive;0,0009;128;1;50;tanh;linear;xavier;13,94140004;14,26254679;0,051309518;0,27345717
0;0,01;adaptive;0,0009;128;1;150;tanh;linear;xavier;14,88771873;15,11336368;0,009638109;0,033390261
0;0,01;adaptive;0,0009;128;1;300;tanh;linear;xavier;15,20291329;15,46040308;0,023883065;0,061163293
0,0005;0,001;adaptive;0,0009;64;1;50;sigmoid;linear;uniform;15,44149836;15,46140179;0,047227384;0,1892511
0,0005;0,01;adaptive;0,0009;128;1;50;tanh;linear;xavier;15,26129816;15,53157526;0,011838978;0,030754682
0,0005;0,01;adaptive;0,0009;128;1;150;tanh;linear;xavier;15,67801632;16,02524464;0,009176472;0,05117198
0,0005;0,01;adaptive;0,0009;128;1;300;tanh;linear;xavier;15,77496555;16,03638607;0,017548357;0,029084839
0,0005;0,001;adaptive;0,0009;64;1;50;sigmoid;linear;xavier;16,70747471;16,71966277;0,004678376;0,027234341
0,0005;0,001;adaptive;0,0009;128;1;50;sigmoid;linear;uniform;20,47310861;20,47760596;0,018776911;0,098167344
0,0005;0,001;adaptive;0,0009;128;1;50;sigmoid;linear;xavier;21,13051174;21,13628264;0,008361005;0,053924351
0;0,001;adaptive;0,0009;64;1;300;tanh;linear;uniform;29,91278405;30,86342794;0,080700826;0,046136301
0;0,001;adaptive;0,0009;64;1;150;tanh;linear;uniform;35,98431007;36,47247346;0,048246366;0,153914377
0;0,001;adaptive;0,0009;128;1;300;tanh;linear;uniform;36,72957723;37,77319532;0,492598887;0,93033488
0,0005;0,001;adaptive;0,0009;64;1;300;tanh;linear;uniform;41,0269555;41,50296942;0,109757439;0,185652841
0;0,001;adaptive;0,0009;64;1;50;tanh;linear;uniform;41,55062552;42,0006086;0,1092579;0,145277202
0;0,001;adaptive;0,0009;128;1;150;tanh;linear;uniform;43,19192387;43,91931507;0,111053371;0,007465892
0,0005;0,001;adaptive;0,0009;64;1;150;tanh;linear;uniform;44,02207837;44,36856939;0,063262264;0,136568812
0,0005;0,001;adaptive;0,0009;128;1;300;tanh;linear;uniform;44,52576085;45,09700062;0,173797648;0,177776378
0;0,001;adaptive;0,0009;64;1;50;tanh;linear;xavier;45,20981691;45,64879086;0,009200727;0,036779247
0,0005;0,001;adaptive;0,0009;64;1;50;tanh;linear;uniform;45,45428592;45,65824327;0,026631343;0,064611775
0;0,001;adaptive;0,0009;64;1;150;tanh;linear;xavier;45,82675958;46,43357029;0,023284352;0,023526396
0;0,001;adaptive;0,0009;64;1;300;tanh;linear;xavier;45,7990241;46,54581018;0,069673642;0,180484999
0,0005;0,001;adaptive;0,0009;64;1;50;tanh;linear;xavier;46,43381797;46,56305488;0,038046685;0,07583149
0,0005;0,001;adaptive;0,0009;64;1;300;tanh;linear;xavier;46,29904207;46,66267509;0,011546456;0,00726492
0,0005;0,001;adaptive;0,0009;64;1;150;tanh;linear;xavier;46,51133233;46,6640658;0,00932734;0,023368104
0;0,001;adaptive;0,0009;128;1;50;tanh;linear;uniform;47,57055128;48,03837366;0,058096076;0,059608035
0,0005;0,001;adaptive;0,0009;128;1;150;tanh;linear;uniform;48,03815232;48,53031022;0,057910079;0,069414915
0,0005;0,001;adaptive;0,0009;128;1;50;tanh;linear;uniform;49,82988451;50,18487031;0,002735351;0,01447298
0;0,001;adaptive;0,0009;128;1;50;tanh;linear;xavier;50,17705688;50,47813585;0,000444611;0,002200877
0;0,001;adaptive;0,0009;128;1;150;tanh;linear;xavier;50,56522099;51,00879108;0,010905238;0,052508787
0,0005;0,001;adaptive;0,0009;128;1;300;tanh;linear;xavier;50,85983244;51,05487092;0,008551453;0,029605941
0,0005;0,001;adaptive;0,0009;128;1;50;tanh;linear;xavier;50,95386733;51,07556504;0,001786937;0,020163421
0;0,001;adaptive;0,0009;128;1;300;tanh;linear;xavier;50,4733682;51,09604034;0,078143487;0,125012433
0,0005;0,001;adaptive;0,0009;128;1;150;tanh;linear;xavier;50,97772397;51,25264038;0,023188591;0,063897438
