lambda;stepsize;momentum;epsilon;batch_size;layer_number;neuron;activation;activation_output;initialization;error_train;error_test;error_train_variance;error_test_variance
0,0005;0,07;0,2;0,0009;64;3;30;sigmoid;linear;xavier;10,88178473;10,91101627;21,85317012;21,85050812
0;0,07;0,2;0,0009;64;3;30;sigmoid;linear;xavier;16,79793946;16,82759205;0,017769858;0,010753262
0;0,07;0,2;0,0009;128;3;30;sigmoid;linear;uniform;16,7994621;16,85706041;0,069078813;0,198504792
0;0,05;0,2;0,0009;128;3;30;sigmoid;linear;uniform;16,85468929;16,87099599;0,00724627;0,033681127
0;0,05;0,2;0,0009;64;3;30;sigmoid;linear;xavier;16,89019537;16,90672639;0,022944398;0,054180809
0,0005;0,05;0;0,0009;128;3;30;sigmoid;linear;uniform;16,98146344;17,00779572;0,02948633;0,092702655
0,0005;0,05;0;0,0009;128;3;30;sigmoid;linear;xavier;17,01465614;17,0328441;0,000380687;0,022197243
0;0,05;0,2;0,0009;128;3;30;sigmoid;linear;xavier;123,3570155;123,5813297;22697,42392;22965,09807
0;0,07;0,2;0,0009;128;3;30;sigmoid;linear;xavier;2459,33543;2459,75674;11930739,19;11936734,22
0;0,05;0,2;0,0009;64;1;30;tanh;linear;uniform;nan;nan;nan;nan
0;0,05;0,2;0,0009;64;1;30;tanh;linear;xavier;nan;nan;nan;nan
0;0,05;0,2;0,0009;64;1;30;sigmoid;linear;uniform;nan;nan;nan;nan
0;0,05;0,2;0,0009;64;1;30;sigmoid;linear;xavier;nan;nan;nan;nan
0;0,05;0,2;0,0009;64;3;30;tanh;linear;uniform;nan;nan;nan;nan
0;0,05;0,2;0,0009;64;3;30;tanh;linear;xavier;nan;nan;nan;nan
0;0,05;0,2;0,0009;64;3;30;sigmoid;linear;uniform;nan;nan;nan;nan
0;0,05;0,2;0,0009;128;1;30;tanh;linear;uniform;nan;nan;nan;nan
0;0,05;0,2;0,0009;128;1;30;tanh;linear;xavier;nan;nan;nan;nan
0;0,05;0,2;0,0009;128;1;30;sigmoid;linear;uniform;nan;nan;nan;nan
0;0,05;0,2;0,0009;128;1;30;sigmoid;linear;xavier;nan;nan;nan;nan
0;0,05;0,2;0,0009;128;3;30;tanh;linear;uniform;nan;nan;nan;nan
0;0,05;0,2;0,0009;128;3;30;tanh;linear;xavier;nan;nan;nan;nan
