lambda;stepsize;momentum;epsilon;batch_size;layer_number;neuron;activation;activation_output;initialization;error_train;error_test;error_train_variance;error_test_variance
0,0005;0,001;adaptive;0,0009;128;1;30;tanh;linear;uniform;27,5345147;27,54140466;0,045296726;0,181173345
0,0005;0,001;adaptive;0,0009;128;1;30;tanh;linear;xavier;27,57481944;27,57940299;0,01065803;0,035369222
0,0005;0,001;adaptive;0,0009;128;3;30;tanh;linear;uniform;27,87360075;27,88089342;0,102427682;0,541029451
0,0005;0,001;adaptive;0,0009;128;3;30;sigmoid;linear;uniform;27,95370829;27,95654817;0,000937579;0,005460667
0,0005;0,001;adaptive;0,0009;128;3;30;tanh;linear;xavier;27,93823358;27,9793396;0,00087593;0,003017735
0,0005;0,001;adaptive;0,0009;128;3;30;sigmoid;linear;xavier;28,05935933;28,05995866;0,097195563;0,481886806
0,0005;0,001;adaptive;0,0009;128;1;30;sigmoid;linear;uniform;28,23609285;28,2495784;0,116071945;0,460045895
0,0005;0,001;adaptive;0,0009;128;1;30;sigmoid;linear;xavier;28,24276741;28,2521331;0,00504222;0,027741257
0,0005;0,001;adaptive;0,0009;64;3;10;tanh;linear;xavier;38,23366341;38,2340833;0,001116328;0,003385364
0,0005;0,001;adaptive;0,0009;64;3;10;tanh;linear;uniform;38,23483983;38,23503031;0,015375305;0,067304122
0,0005;0,001;adaptive;0,0009;64;3;10;sigmoid;linear;xavier;38,2356839;38,23569885;0,014693523;0,062235911
0,0005;0,001;adaptive;0,0009;64;3;10;sigmoid;linear;uniform;38,23569254;38,23571142;0,060278048;0,25221722
0,0005;0,001;adaptive;0,0009;64;1;10;tanh;linear;xavier;38,23714807;38,23744479;0,058169939;0,24627406
0,0005;0,001;adaptive;0,0009;64;1;10;tanh;linear;uniform;38,23751569;38,23770689;0,025109392;0,106642833
0,0005;0,001;adaptive;0,0009;64;1;10;sigmoid;linear;uniform;38,25941394;38,25981459;0,003035383;0,013449035
0,0005;0,001;adaptive;0,0009;64;1;10;sigmoid;linear;xavier;38,26029512;38,2608161;0,036874881;0,157053723
0,0005;0,001;adaptive;0,0009;128;1;10;tanh;linear;xavier;42,47561959;42,47802408;0,336140169;1,341145794
0,0005;0,001;adaptive;0,0009;128;1;10;tanh;linear;uniform;42,47752068;42,47928495;0,404463309;1,620912044
0,0005;0,001;adaptive;0,0009;128;3;10;tanh;linear;xavier;42,64299477;42,64311953;0,019705457;0,08210379
0,0005;0,001;adaptive;0,0009;128;3;10;tanh;linear;uniform;42,64619699;42,64622819;0,118083186;0,488341261
0,0005;0,001;adaptive;0,0009;128;3;10;sigmoid;linear;uniform;42,65181186;42,65192732;0,235637114;0,965109282
0,0005;0,001;adaptive;0,0009;128;3;10;sigmoid;linear;xavier;42,65276813;42,65287261;0,214908756;0,892138777
0,0005;0,001;adaptive;0,0009;128;1;10;sigmoid;linear;xavier;42,70821272;42,71078148;0,352541787;1,403885002
0,0005;0,001;adaptive;0,0009;128;1;10;sigmoid;linear;uniform;42,70755256;42,71079132;0,018427795;0,070923949
