lambda;stepsize;momentum;epsilon;batch_size;layer_number;neuron;activation;activation_output;initialization;mse_train;mse_test;mse_train_variance;mse_test_variance;acc_train;acc_test;acc_train_variance;acc_validation_variance
0.001;0.8;0.8;0.0009;64;3;3;tanh;sigmoid;uniform;0.05645235903161385;0.09519956438206377;0.0042299045638164515;0.008471796582146173;0.9434523809523809;0.8869047619047619;0.006395266439909293;0.015376984126984123
0.001;0.3;0.3;0.0009;64;1;3;tanh;tanh;uniform;0.06369175901160308;0.10099279508318859;1,68E+10;0.00024531245603643314;0.9880952380952381;0.9464285714285715;7,09E+10;0.0057397959183673455
0.001;0.8;0.3;0.0009;64;3;3;tanh;tanh;uniform;0.09006115767270202;0.103563551290692;0.004515181557751114;0.004183333726939174;0.8363095238095238;0.8154761904761906;0.04795564058956916;0.04513888888888889
0.001;0.8;0.3;0.0009;64;1;3;tanh;tanh;uniform;0.0652686395893996;0.11050604973077065;0.0001696179363853708;0.0008942957458044984;0.9761904761904763;0.875;0.0007617630385487531;0.0065901360544217665
0.001;0.8;0.3;0.0009;64;1;9;tanh;tanh;uniform;0.06127109991798561;0.1118941650283416;2,55E+11;0.00039684649646753127;0.9880952380952381;0.9166666666666666;1,77E+11;0.0019841269841269866
0.001;0.3;0.3;0.0009;64;3;3;tanh;tanh;uniform;0.08422782257096177;0.11911496396112964;0.0020558608863433174;0.005273600435092118;0.9345238095238094;0.8571428571428571;0.0064484126984127;0.0274234693877551
0.001;0.8;0.8;0.0009;64;1;9;sigmoid;tanh;uniform;0.12957277183830565;0.18009862732489465;0.0007243089322625575;0.0010671667609305957;0.8452380952380952;0.7321428571428571;0.0075644841269841305;0.010204081632653062
0.001;0.3;0.8;0.0009;64;1;3;tanh;sigmoid;uniform;0.13828245241382078;0.18927263916946035;0.0002574354286970441;0.0006265866916440448;0.8333333333333334;0.6845238095238094;0.001930980725623581;0.004535147392290245
0.001;0.8;0.8;0.0009;64;1;3;tanh;sigmoid;uniform;0.12751622985843167;0.19439270124768337;0.0007470949517135017;0.0016300745459072394;0.8779761904761906;0.7023809523809524;0.0031001984126984117;0.003472222222222224
0.001;0.3;0.8;0.0009;64;1;9;sigmoid;tanh;uniform;0.11483468862900081;0.20105551584453804;0.0005305096866897257;0.0024028692728035174;0.8720238095238096;0.6607142857142857;0.006076388888888888;0.013605442176870744
0.001;0.8;0.8;0.0009;64;1;3;sigmoid;tanh;uniform;0.17623316152207139;0.20446696167196368;0.0027200549635095117;0.002169771798868531;0.7678571428571428;0.6726190476190476;0.019770408163265307;0.017077664399092966
0.001;0.3;0.8;0.0009;64;3;3;tanh;sigmoid;uniform;0.08526290823180503;0.21163076713915763;0.003830636388222307;0.01167656165156495;0.9136904761904763;0.7261904761904763;0.006395266439909296;0.018353174603174597
0.001;0.8;0.3;0.0009;64;1;9;tanh;sigmoid;uniform;0.18737390041617574;0.2168955676988147;0.00011173069900066469;0.0002122100869365967;0.7142857142857143;0.5952380952380952;0.00037202380952380885;0.0004960317460317464
0.001;0.3;0.3;0.0009;64;1;9;tanh;sigmoid;uniform;0.19484023315401436;0.22118256799215244;0.0002519455456352947;2,03E+11;0.7053571428571429;0.5952380952380952;0.00037202380952380885;0.0034722222222222186
0.001;0.8;0.3;0.0009;64;3;9;tanh;sigmoid;uniform;0.1669269175754565;0.22223088824484002;0.0034412360383330406;0.0027626709211780558;0.7678571428571428;0.636904761904762;0.014243197278911565;0.010487528344671202
0.01;0.3;0.8;0.0009;64;1;3;tanh;tanh;uniform;0.19962886627055898;0.2275725951537526;9,42E+10;0.00026835515247890614;0.6934523809523809;0.6011904761904762;0.010753259637188213;0.00878684807256235
