lambda,stepsize,momentum,epsilon,batch_size,layer_number,neuron,activation,activation_output,initialization,error_train,error_test,error_train_variance,error_test_variance
0.0005,0.001,0.0,0.0009,64,1,200,tanh,linear,xavier,21.11084072593452,21.236559552492455,0.0013020119938320634,0.013928773121162663
0.0005,0.001,0.0,0.0009,64,1,200,sigmoid,linear,uniform,3.4170111661991194,3.463061474354161,0.0002734887414533135,0.0047825750343537185
0.0005,0.001,0.0,0.0009,64,1,200,sigmoid,linear,xavier,4.727212243206357,4.7418246860038105,0.002940459105644425,0.03426854853387957
0.0005,0.001,0.0,0.0009,128,1,30,tanh,linear,uniform,28.861372287618938,29.05016320527534,0.028407753590563717,0.07138515322910349
0.0005,0.001,0.0,0.0009,128,1,30,tanh,linear,xavier,29.448120330018586,29.58048649953839,0.036089789341646854,0.11791036921028031
0.0005,0.001,0.0,0.0009,128,1,30,sigmoid,linear,uniform,14.18322837179784,14.196690497464827,0.00025453867209750033,0.0022816357274757296
0.0005,0.001,0.0,0.0009,128,1,30,sigmoid,linear,xavier,14.018674153762818,14.033425481759101,0.0012590106891691582,0.016294501624579294
0.0005,0.001,0.0,0.0009,128,1,80,tanh,linear,uniform,28.02118872695419,28.268323293362922,0.0054323214061134445,0.011470937303971957
0.0005,0.001,0.0,0.0009,128,1,80,tanh,linear,xavier,29.435854758982543,29.688921489108335,0.0033886848003988924,0.009564151232251615
0.0005,0.001,0.0,0.0009,128,1,80,sigmoid,linear,uniform,4.673278293327306,4.69182496588656,0.0001154265880237339,0.004732450581981514
0.0005,0.001,0.0,0.0009,128,1,80,sigmoid,linear,xavier,7.366204414717185,7.3743084732325554,0.0017493064718915677,0.007447039843906433
0.0005,0.001,0.0,0.0009,128,1,200,tanh,linear,uniform,24.83685486500903,25.13151519440859,0.003973301078165955,0.0029103539205556765
0.0005,0.001,0.0,0.0009,128,1,200,tanh,linear,xavier,29.362823264448092,29.649935116464633,0.007604660161329795,0.006094787358156067
0.0005,0.001,0.0,0.0009,128,1,200,sigmoid,linear,uniform,3.4187285331129895,3.451219244195748,0.005429648432737681,0.0271422496098658
0.0005,0.001,0.0,0.0009,128,1,200,sigmoid,linear,xavier,4.668767313383132,4.675310363107005,0.0027610750757897603,0.01733200431994712
0.0005,0.01,0.0,0.0009,64,1,30,tanh,linear,uniform,3.3132159260025786,3.398220379732651,0.0001923813680358704,0.0008349481685114242
0.0005,0.01,0.0,0.0009,64,1,30,tanh,linear,xavier,3.298152648607194,3.343842233456224,0.0005123318058554792,0.0009004378150295322
0.0005,0.01,0.0,0.0009,64,1,30,sigmoid,linear,uniform,3.4375707391741592,3.4901542545545823,0.0037058848248099356,0.007013454807257903
0.0005,0.01,0.0,0.0009,64,1,30,sigmoid,linear,xavier,3.517148538554057,3.53643134409071,8.256846958978172e-05,0.00119330954812858
0.0005,0.01,0.0,0.0009,64,1,80,tanh,linear,uniform,3.0056512025167508,3.1585177429721756,0.0021060679323423714,0.008182168325728127
0.0005,0.01,0.0,0.0009,64,1,80,tanh,linear,xavier,3.244960659246452,3.3062905927509667,0.003845528051380106,0.013416262567256254
0.0005,0.01,0.0,0.0009,64,1,80,sigmoid,linear,uniform,3.2936373775801475,3.3483819450100687,0.003736563285909898,0.009966698071776426
0.0005,0.01,0.0,0.0009,64,1,80,sigmoid,linear,xavier,3.3985702537485736,3.433391691183638,0.0009878851648841699,0.003659377963548311
0.0005,0.01,0.0,0.0009,64,1,200,tanh,linear,uniform,2.7084217293859667,2.95115030859184,0.0013208183970269906,0.002441592170445664
0.0005,0.01,0.0,0.0009,64,1,200,tanh,linear,xavier,3.2520118828428486,3.291062086339419,0.00036380875118513777,0.002505911802653585
0.0005,0.01,0.0,0.0009,64,1,200,sigmoid,linear,uniform,3.2053674488866406,3.289413773432915,0.0006312200479928731,0.0010216084722563358
0.0005,0.01,0.0,0.0009,64,1,200,sigmoid,linear,xavier,3.405746414326113,3.445589775259686,0.0005477950673294638,0.0007230231518217731
0.0005,0.01,0.0,0.0009,128,1,30,tanh,linear,uniform,3.2980490919461656,3.384495888729258,0.0004482918810067697,0.002635477382295135
0.0005,0.01,0.0,0.0009,128,1,30,tanh,linear,xavier,3.2823579646608767,3.3299578834428956,0.0011423942517119119,0.0025129978765106036
0.0005,0.01,0.0,0.0009,128,1,30,sigmoid,linear,uniform,3.4194250564372926,3.453812702259544,3.1068176400836146e-05,0.00013042790484502428
0.0005,0.01,0.0,0.0009,128,1,30,sigmoid,linear,xavier,3.473555744452703,3.5005663262145847,0.0005501535032124092,0.0015876772351779576
0.0005,0.01,0.0,0.0009,128,1,80,tanh,linear,uniform,2.985527460042666,3.138593372199234,0.0019276584434923204,0.006610326094121383
