lambda,stepsize,momentum,batch_size,layer_number,neuron,activation,activation_output,mse_train,mse_test,mse_train_variance,mse_test_variance,acc_train,acc_test,acc_train_variance,acc_validation_variance
0.001,0.01,0.5,1,6,5,sigmoid,sigmoid,0.2453739090485508,0.2776375520499405,1.048170496259257e-05,0.00038653631301172444,0.5609756097560976,0.3821138211382114,0.0011897679952409266,0.00568444708837332
0.001,0.01,0.5,1,6,5,sigmoid,tanh,0.24612677254634788,0.2772999483237318,2.2365306096626836e-05,0.00022779674247429236,0.5609756097560976,0.3821138211382114,0.0011897679952409266,0.00568444708837332
0.001,0.01,0.5,1,6,5,tanh,sigmoid,0.1964323175117386,0.34595511804506013,0.003956195302348055,0.015433665519664026,0.6869918699186992,0.43902439024390244,0.022440346354683057,0.015466983938132067
0.001,0.01,0.5,1,6,5,tanh,tanh,0.11350016899966436,0.46069107376091045,0.0010874839610379213,0.0009385187555093871,0.8495934959349594,0.45528455284552843,0.0032057637649547245,0.000925375107409611
0.01,0.6,0.01,32,2,5,sigmoid,sigmoid,0.24509616827451156,0.27436279243610967,1.1360443152126074e-05,0.00028480246477111766,0.5609756097560976,0.3821138211382114,0.0011897679952409266,0.00568444708837332
0.01,0.6,0.01,32,2,5,sigmoid,tanh,0.24519002948545543,0.27229714104989217,1.0874545483717247e-05,0.00024624860142878185,0.5609756097560976,0.3821138211382114,0.0011897679952409266,0.00568444708837332
0.01,0.6,0.01,32,2,5,tanh,sigmoid,0.2450943959024614,0.27426980276085594,1.1343222911771672e-05,0.00028902521021736185,0.5609756097560976,0.3821138211382114,0.0011897679952409266,0.00568444708837332
0.01,0.6,0.01,32,2,5,tanh,tanh,0.24510964258137513,0.274153803792098,1.1474902619411865e-05,0.00027402083785820803,0.5609756097560976,0.3821138211382114,0.0011897679952409266,0.00568444708837332
0.01,0.6,0.01,32,6,5,sigmoid,sigmoid,0.24509305921658564,0.27407016016973507,1.1320903996307343e-05,0.00028150163562213785,0.5609756097560976,0.3821138211382114,0.0011897679952409266,0.00568444708837332
0.01,0.6,0.01,32,6,5,sigmoid,tanh,0.24509806123101333,0.2750652042832939,1.1297677103685319e-05,0.0003042683841385835,0.5609756097560976,0.3821138211382114,0.0011897679952409266,0.00568444708837332
0.01,0.6,0.01,32,6,5,tanh,sigmoid,0.24509449273324532,0.27386361283543853,1.131355089168293e-05,0.00027584596783490124,0.5609756097560976,0.3821138211382114,0.0011897679952409266,0.00568444708837332
0.01,0.6,0.01,32,6,5,tanh,tanh,0.24509463079624486,0.2747309048608015,1.131578161901895e-05,0.00029976804063832523,0.5609756097560976,0.3821138211382114,0.0011897679952409266,0.00568444708837332
0.01,0.6,0.01,1,2,5,sigmoid,sigmoid,0.25118359806404866,0.3124896222415256,7.838342360604841e-07,0.0019950703260425405,0.5528455284552846,0.39024390243902446,0.0021151431026505377,0.0075351973031925435
0.01,0.6,0.01,1,2,5,sigmoid,tanh,0.2811091750631654,0.353003753360263,0.0014994074785192868,0.018462825640483908,0.5609756097560976,0.3821138211382114,0.0011897679952409266,0.00568444708837332
0.01,0.6,0.01,1,2,5,tanh,sigmoid,0.2504507601241878,0.2747935171843076,2.4215203772630094e-06,0.0014718267647514723,0.5040650406504065,0.5040650406504066,0.004891268424879369,0.019565073699517484
0.01,0.6,0.01,1,2,5,tanh,tanh,0.3589628474820927,0.48992837866043987,0.0005538089060301942,0.006724377105404393,0.5528455284552846,0.39024390243902446,0.0021151431026505377,0.0075351973031925435
0.01,0.6,0.01,1,6,5,sigmoid,sigmoid,0.24588569397177065,0.28523567187353577,9.271002683162847e-06,0.0006896578148908138,0.5609756097560976,0.3821138211382114,0.0011897679952409266,0.00568444708837332
0.01,0.6,0.01,1,6,5,sigmoid,tanh,0.28046633624436984,0.24639576433645913,0.0014377102015522105,0.00016581816367834982,0.4959349593495935,0.4959349593495935,0.004891268424879369,0.019565073699517484
0.01,0.6,0.01,1,6,5,tanh,sigmoid,0.24612538769597667,0.27264121677024883,1.0048393769567664e-05,0.00041091663273101433,0.5528455284552846,0.39024390243902446,0.0021151431026505377,0.0075351973031925435
0.01,0.6,0.01,1,6,5,tanh,tanh,0.3434453662035673,0.4832774797472677,0.0005492519436836546,0.016224307067792224,0.5528455284552846,0.39024390243902446,0.0021151431026505377,0.0075351973031925435
0.01,0.6,0.5,32,2,5,sigmoid,sigmoid,0.24517006176747766,0.2716838326996917,1.1235288452199187e-05,0.0002437942505972778,0.5609756097560976,0.3821138211382114,0.0011897679952409266,0.00568444708837332
0.01,0.6,0.5,32,2,5,sigmoid,tanh,0.2456832105030943,0.2693780913116771,1.1652721178245224e-05,0.00026033552494252537,0.5528455284552846,0.39024390243902446,0.0021151431026505377,0.0075351973031925435
0.01,0.6,0.5,32,2,5,tanh,sigmoid,0.24509536017134548,0.274697519245735,1.1309854352265147e-05,0.00029521157184857216,0.5609756097560976,0.3821138211382114,0.0011897679952409266,0.00568444708837332
0.01,0.6,0.5,32,2,5,tanh,tanh,0.13963676652144222,0.3250066619723702,0.0004782998663244661,0.001532136802846435,0.83739837398374,0.6097560975609756,0.0030074690990812346,0.006345429307951613
0.01,0.6,0.5,32,6,5,sigmoid,sigmoid,0.24517989313236868,0.27112018443779395,1.0927769242808866e-05,0.00021590130832517722,0.5609756097560976,0.3821138211382114,0.0011897679952409266,0.00568444708837332
0.01,0.6,0.5,32,6,5,sigmoid,tanh,0.24617291616953044,0.28389891030963316,8.517230881384444e-06,0.0006942226144183722,0.5609756097560976,0.3821138211382114,0.0011897679952409266,0.00568444708837332
0.01,0.6,0.5,32,6,5,tanh,sigmoid,0.24509268990946906,0.274650158459913,1.1324824554325841e-05,0.00029695135045944163,0.5609756097560976,0.3821138211382114,0.0011897679952409266,0.00568444708837332
0.01,0.6,0.5,32,6,5,tanh,tanh,0.20796066017184808,0.2877620179362954,0.0029458401718916827,0.0009955647369174283,0.6626016260162602,0.4471544715447155,0.026802829003899797,0.005684447088373321
0.01,0.6,0.5,1,2,5,sigmoid,sigmoid,0.25064279582195265,0.2750046576710384,2.9783705419508938e-05,0.0007151375581759676,0.5609756097560976,0.3821138211382114,0.0011897679952409266,0.00568444708837332
