lambda;stepsize;momentum;epsilon;batch_size;layer_number;neuron;activation;activation_output;initialization;error_train;error_test;error_train_variance;error_test_variance
0;0,07;0,2;0,0009;64;3;30;sigmoid;linear;xavier;10,68953499;10,71946419;0,011692519;0,007944197
0;0,07;0,2;0,0009;128;3;30;sigmoid;linear;xavier;10,73903227;10,75987088;0,000253678;0,008795995
0,0005;0,01;0;0,0009;64;3;30;sigmoid;linear;xavier;10,74811939;10,76809601;0,027962872;0,054576747
0;0,07;0,2;0,0009;128;3;30;sigmoid;linear;uniform;10,77664526;10,76944926;0,001313375;0,00042147
0,0005;0,01;0;0,0009;64;3;30;sigmoid;linear;uniform;10,74352828;10,78071839;0,020358254;0,045745407
0;0,01;0,2;0,0009;128;3;30;sigmoid;linear;uniform;10,74117669;10,78577296;0,00182306;0,006075255
0;0,01;0,2;0,0009;64;3;30;sigmoid;linear;uniform;10,78994969;10,78831305;0,011774232;0,008295012
0;0,01;0,2;0,0009;64;3;30;sigmoid;linear;xavier;10,8075802;10,81161553;0,01000051;0,012158051
0,0005;0,01;0;0,0009;128;3;30;tanh;linear;uniform;10,79677207;10,83286866;1,286862258;2,206185874
0;0,01;0,2;0,0009;128;3;30;sigmoid;linear;xavier;10,92242352;10,9463663;0,060628573;0,050749093
0;0,07;0,2;0,0009;64;3;30;sigmoid;linear;uniform;11,1213198;11,22292982;0,15586986;0,947696654
0,0005;0,01;0;0,0009;128;1;30;sigmoid;linear;uniform;11,30191535;11,30569601;0,001973072;0,046408116
0,0005;0,01;0;0,0009;128;1;30;sigmoid;linear;xavier;11,31805618;11,32521553;0,000191277;0,033842084
0,0005;0,01;0;0,0009;128;3;30;tanh;linear;xavier;11,68362169;11,68498423;0,001739063;0,011204633
0,0005;0,01;0;0,0009;128;3;30;sigmoid;linear;uniform;11,71330741;11,71548791;0,00541982;0,001010541
0,0005;0,01;0;0,0009;128;3;30;sigmoid;linear;xavier;11,72208112;11,72315713;0,003241945;0,03308629
0;0,01;0,2;0,0009;64;1;30;tanh;linear;uniform;nan;nan;nan;nan
0;0,01;0,2;0,0009;64;1;30;tanh;linear;xavier;nan;nan;nan;nan
0;0,01;0,2;0,0009;64;1;30;sigmoid;linear;uniform;nan;nan;nan;nan
0;0,01;0,2;0,0009;64;1;30;sigmoid;linear;xavier;nan;nan;nan;nan
0;0,01;0,2;0,0009;64;3;30;tanh;linear;uniform;nan;nan;nan;nan
0;0,01;0,2;0,0009;64;3;30;tanh;linear;xavier;nan;nan;nan;nan
0;0,01;0,2;0,0009;128;1;30;tanh;linear;uniform;nan;nan;nan;nan
0;0,01;0,2;0,0009;128;1;30;tanh;linear;xavier;nan;nan;nan;nan
0;0,01;0,2;0,0009;128;1;30;sigmoid;linear;uniform;nan;nan;nan;nan
0;0,01;0,2;0,0009;128;1;30;sigmoid;linear;xavier;nan;nan;nan;nan
0;0,01;0,2;0,0009;128;3;30;tanh;linear;uniform;nan;nan;nan;nan
0;0,01;0,2;0,0009;128;3;30;tanh;linear;xavier;nan;nan;nan;nan
0;0,07;0,2;0,0009;64;1;30;tanh;linear;uniform;nan;nan;nan;nan
0;0,07;0,2;0,0009;64;1;30;tanh;linear;xavier;nan;nan;nan;nan
0;0,07;0,2;0,0009;64;1;30;sigmoid;linear;uniform;nan;nan;nan;nan
0;0,07;0,2;0,0009;64;1;30;sigmoid;linear;xavier;nan;nan;nan;nan
0;0,07;0,2;0,0009;64;3;30;tanh;linear;uniform;nan;nan;nan;nan
0;0,07;0,2;0,0009;64;3;30;tanh;linear;xavier;nan;nan;nan;nan
0;0,07;0,2;0,0009;128;1;30;tanh;linear;uniform;nan;nan;nan;nan
0;0,07;0,2;0,0009;128;1;30;tanh;linear;xavier;nan;nan;nan;nan
0;0,07;0,2;0,0009;128;1;30;sigmoid;linear;uniform;nan;nan;nan;nan
0;0,07;0,2;0,0009;128;1;30;sigmoid;linear;xavier;nan;nan;nan;nan
0;0,07;0,2;0,0009;128;3;30;tanh;linear;uniform;nan;nan;nan;nan
0;0,07;0,2;0,0009;128;3;30;tanh;linear;xavier;nan;nan;nan;nan
0,0005;0,01;0,2;0,0009;64;1;30;tanh;linear;uniform;nan;nan;nan;nan
0,0005;0,01;0,2;0,0009;64;1;30;tanh;linear;xavier;nan;nan;nan;nan
0,0005;0,01;0,2;0,0009;64;1;30;sigmoid;linear;uniform;nan;nan;nan;nan
0,0005;0,01;0,2;0,0009;64;1;30;sigmoid;linear;xavier;nan;nan;nan;nan
0,0005;0,01;0,2;0,0009;64;3;30;tanh;linear;uniform;nan;nan;nan;nan
0,0005;0,01;0,2;0,0009;64;3;30;tanh;linear;xavier;nan;nan;nan;nan
0,0005;0,01;0,2;0,0009;128;1;30;tanh;linear;uniform;nan;nan;nan;nan
0,0005;0,01;0,2;0,0009;128;1;30;tanh;linear;xavier;nan;nan;nan;nan
0,0005;0,01;0,2;0,0009;128;1;30;sigmoid;linear;uniform;nan;nan;nan;nan
0,0005;0,01;0,2;0,0009;128;1;30;sigmoid;linear;xavier;nan;nan;nan;nan
0,0005;0,01;0,2;0,0009;128;3;30;tanh;linear;uniform;nan;nan;nan;nan
0,0005;0,01;0,2;0,0009;128;3;30;tanh;linear;xavier;nan;nan;nan;nan
0,0005;0,07;0,2;0,0009;64;1;30;tanh;linear;uniform;nan;nan;nan;nan
0,0005;0,07;0,2;0,0009;64;1;30;tanh;linear;xavier;nan;nan;nan;nan
0,0005;0,07;0,2;0,0009;64;1;30;sigmoid;linear;uniform;nan;nan;nan;nan
0,0005;0,07;0,2;0,0009;64;1;30;sigmoid;linear;xavier;nan;nan;nan;nan
0,0005;0,07;0,2;0,0009;64;3;30;tanh;linear;uniform;nan;nan;nan;nan
0,0005;0,07;0,2;0,0009;64;3;30;tanh;linear;xavier;nan;nan;nan;nan
0,0005;0,07;0,2;0,0009;128;1;30;tanh;linear;uniform;nan;nan;nan;nan
0,0005;0,07;0,2;0,0009;128;1;30;tanh;linear;xavier;nan;nan;nan;nan
0,0005;0,07;0,2;0,0009;128;1;30;sigmoid;linear;uniform;nan;nan;nan;nan
0,0005;0,07;0,2;0,0009;128;1;30;sigmoid;linear;xavier;nan;nan;nan;nan
0,0005;0,07;0,2;0,0009;128;3;30;tanh;linear;uniform;nan;nan;nan;nan
0,0005;0,07;0,2;0,0009;128;3;30;tanh;linear;xavier;nan;nan;nan;nan
